Flag:,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Debit:,1021000300006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total transaction:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total transaction amount:,200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction date:,251024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code:,dda4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service code,Source Branch,Date DDMMYY,Reff no,Amount,Remark Line 3,Remark Line 4,REMARK TRX,BIC BANK PENERIMA,NAMA PENGIRIM,REKENING PENGIRIM,CHARGE 1,CHARGE 2,Jenis nasabah penerima,Status penduduk penerima,Account Credit,Account Debit,NAMA PENERIMA OVB,REKENING PENERIMA SKN,NAMA PENERIMA SKN,REKENING PENERIMA  RTG,NAMA PENERIMA  RTG,AlAMAT PENERIMA,AlAMAT KOTA PENERIMA,KODE CABANG BANK PENERIMA,NAMA PENERIMA EWALLET,Reff User,Company Identifier,Additional1,Additional2,Additional3,Currency Debit,Currency Credit,Rate Debit,Rate Credit,Amount Credit
SKN,801,251024,,200000000,LOAN ON CARD NTB_Cashline,040250QfTJ_7_2024-1_2410231118,LOAN ON CARD,BUTGIDJ1,GL RPT,1021000300006,,,1,1,,,,123456789,data test 16,,,,,,,040250QfTJ_7_2024-1_2410231118,,,,,,,,,
